ano,id_municipio,sigla_uf,indice_atendimento_urbano_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,extensao_rede_agua
2016,2916005,BA,100.0,100.0,0.0,14.72,52.67
2016,2923506,BA,90.7,74.68,100.0,40.64,8.02
2016,2307254,CE,100.0,34.88,100.0,32.87,41.11
2016,3200904,ES,85.9,22.29,100.0,28.04,157.49
2016,3204609,ES,87.9,54.31,100.0,28.15,78.22
2016,5204102,GO,100.0,80.01,0.0,28.62,49.9
2016,5209101,GO,100.0,54.53,100.0,29.71,210.63
2016,5214606,GO,100.0,29.5,100.0,41.26,122.67
2016,3112406,MG,91.9,5.63,100.0,14.06,33.94
2016,3127701,MG,99.7,85.0,0.0,48.55,730.23
2016,3139300,MG,87.8,3.16,96.07,16.2,66.3
2016,3141405,MG,88.8,70.14,0.61,34.63,54.13
2016,3145307,MG,84.0,58.88,25.34,17.53,35.55
2016,3152303,MG,100.0,100.0,77.99,27.34,26.18
2016,3155801,MG,93.5,80.32,0.0,29.35,44.12
2016,3157377,MG,100.0,83.24,100.0,0.96,11.04
2016,3157807,MG,83.3,62.87,84.64,47.0,764.19
2016,3164100,MG,100.0,50.84,0.0,28.03,14.36
2016,5005608,MS,99.0,36.58,100.0,32.51,75.91
2016,2502003,PB,81.0,82.79,0.0,30.59,15.33
2016,2513703,PB,100.0,5.14,0.0,41.13,129.43
2016,2201903,PI,97.6,10.11,100.0,48.23,44.75
2016,4100509,PR,100.0,42.91,100.0,16.3,121.63
2016,4101002,PR,100.0,69.62,100.0,12.3,135.05
2016,4101507,PR,100.0,64.41,100.0,29.49,619.34
2016,4107751,PR,100.0,10.37,100.0,38.1,69.65
2016,4120002,PR,100.0,93.93,100.0,53.79,91.67
2016,4120507,PR,100.0,46.74,100.0,39.92,43.44
2016,3300456,RJ,78.1,38.31,88.5,46.19,557.97
2016,3301108,RJ,78.9,80.48,16.57,25.13,71.28
2016,2402105,RN,90.8,16.32,100.0,3.95,11.9
2016,2405801,RN,100.0,28.28,100.0,57.91,81.42
2016,2412302,RN,100.0,14.68,100.0,35.56,54.5
2016,3504909,SP,96.8,85.39,100.0,24.28,40.77
